2022-07-24 19:01:46.524,Mode 3 access,100.00," gX: -0.05"," gY: -1.08"," gZ: -0.19",,,
2022-07-24 19:01:46.540,Mode 3 access,100.00," gX: -0.05"," gY: -1.08"," gZ: -0.19",,,
2022-07-24 19:01:46.556,Mode 3 access,100.00," gX: -0.05"," gY: -1.03"," gZ: -0.19",,,
2022-07-24 19:01:46.569,Mode 3 access,100.00," gX: -0.04"," gY: -1.08"," gZ: -0.18",,,
2022-07-24 19:01:46.585,Mode 3 access,100.00," gX: -0.04"," gY: -1.07"," gZ: -0.18",,,
2022-07-24 19:01:46.602,Mode 3 access,100.00," gX: -0.04"," gY: -1.07"," gZ: -0.18",,,
2022-07-24 19:01:46.614,Mode 3 access,100.00," gX: -0.03"," gY: -0.95"," gZ: -0.18",,,
2022-07-24 19:01:46.630,Mode 3 access,100.00," gX: -0.02"," gY: -1.01"," gZ: -0.17",,,
2022-07-24 19:01:46.647,Mode 3 access,100.00," gX: -0.04"," gY: -1.05"," gZ: -0.17",,,
2022-07-24 19:01:46.659,Mode 3 access,100.00," gX: -0.04"," gY: -1.05"," gZ: -0.17",,,
2022-07-24 19:01:46.675,Mode 3 access,100.00," gX: -0.07"," gY: -1.01"," gZ: -0.16",,,
2022-07-24 19:01:46.692,Mode 3 access,100.00," gX: -0.07"," gY: -1.10"," gZ: -0.15",,,
2022-07-24 19:01:46.704,Mode 3 access,100.00," gX: -0.09"," gY: -1.07"," gZ: -0.16",,,
2022-07-24 19:01:46.720,Mode 3 access,100.00," gX: -0.09"," gY: -1.07"," gZ: -0.16",,,
2022-07-24 19:01:46.736,Mode 3 access,100.00," gX: -0.13"," gY: -0.98"," gZ: -0.17",,,
2022-07-24 19:01:46.749,Mode 3 access,100.00," gX: -0.13"," gY: -0.88"," gZ: -0.18",,,
2022-07-24 19:01:46.766,Mode 3 access,100.00," gX: -0.12"," gY: -0.92"," gZ: -0.17",,,
2022-07-24 19:01:46.782,Mode 3 access,100.00," gX: -0.12"," gY: -0.92"," gZ: -0.17",,,
2022-07-24 19:01:46.794,Mode 3 access,100.00," gX: -0.12"," gY: -0.98"," gZ: -0.15",,,
2022-07-24 19:01:46.810,Mode 3 access,100.00," gX: -0.15"," gY: -0.91"," gZ: -0.13",,,
2022-07-24 19:01:46.827,Mode 3 access,100.00," gX: -0.15"," gY: -0.95"," gZ: -0.12",,,
2022-07-24 19:01:46.839,Mode 3 access,100.00," gX: -0.15"," gY: -0.95"," gZ: -0.12",,,
