2022-07-24 19:44:05.871,Mode 3 access,125.00," gX: 0.00"," gY: -0.02"," gZ: -0.00",,,
2022-07-24 19:44:05.888,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:05.905,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:05.916,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:05.933,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:05.950,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:05.962,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:05.978,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:05.995,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:06.006,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:06.023,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:06.040,Mode 3 access,125.00," gX: -0.00"," gY: -0.02"," gZ: -0.00",,,
2022-07-24 19:44:06.052,Mode 3 access,125.00," gX: -0.01"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:06.068,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:06.085,Mode 3 access,125.00," gX: 0.00"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:06.096,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:06.113,Mode 3 access,125.00," gX: 0.01"," gY: 0.00"," gZ: 0.01",," Gain*gyroY: 0",
2022-07-24 19:44:06.129,Mode 3 access,125.00," gX: 0.01"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:06.146,Mode 3 access,125.00," gX: 0.01"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:06.162,Mode 3 access,125.00," gX: 0.01"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:06.178,Mode 3 access,125.00," gX: 0.01"," gY: 0.00"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:06.195,Mode 3 access,125.00," gX: 0.01"," gY: 0.00"," gZ: 0.01",," Gain*gyroY: 0",
2022-07-24 19:44:06.212,Mode 3 access,125.00," gX: 0.01"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:06.223,Mode 3 access,125.00," gX: 0.01"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:06.240,Mode 3 access,125.00," gX: -0.00"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:06.257,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:06.273,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:06.289,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:44:06.306,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:44:06.322,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:44:06.338,Mode 3 access,125.00," gX: -0.02"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:06.355,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 1",
2022-07-24 19:44:06.372,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 1",
2022-07-24 19:44:06.383,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 1",
2022-07-24 19:44:06.400,Mode 3 access,125.00," gX: -0.01"," gY: 0.02"," gZ: 0.00",," Gain*gyroY: 2",
2022-07-24 19:44:06.416,Mode 3 access,125.00," gX: -0.01"," gY: 0.02"," gZ: 0.00",," Gain*gyroY: 2",
2022-07-24 19:44:06.433,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 1",
2022-07-24 19:44:06.449,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 1",
2022-07-24 19:44:06.466,Mode 3 access,125.00," gX: -0.01"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 1",
2022-07-24 19:44:06.482,Mode 3 access,125.00," gX: -0.02"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 0",
2022-07-24 19:44:06.498,Mode 3 access,125.00," gX: -0.02"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 1",
2022-07-24 19:44:06.515,Mode 3 access,125.00," gX: -0.02"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:06.531,Mode 3 access,125.00," gX: -0.02"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:06.547,Mode 3 access,125.00," gX: -0.02"," gY: 0.01"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:06.560,Mode 3 access,125.00," gX: -0.01"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:06.576,Mode 3 access,125.00," gX: -0.01"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:06.593,Mode 3 access,125.00," gX: -0.01"," gY: -0.01"," gZ: -0.00",,,
2022-07-24 19:44:06.609,Mode 3 access,125.00," gX: -0.00"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:06.625,Mode 3 access,125.00," gX: -0.00"," gY: 0.00"," gZ: -0.00",," Gain*gyroY: 0",
2022-07-24 19:44:06.637,Mode 3 access,125.00," gX: 0.00"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 1",
2022-07-24 19:44:06.654,Mode 3 access,125.00," gX: 0.01"," gY: -0.00"," gZ: 0.00",,,
2022-07-24 19:44:06.670,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:06.687,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:06.699,Mode 3 access,125.00," gX: 0.01"," gY: -0.01"," gZ: 0.00",,,
2022-07-24 19:44:06.715,Mode 3 access,125.00," gX: 0.03"," gY: -0.04"," gZ: 0.01",,,
2022-07-24 19:44:06.732,Mode 3 access,125.00," gX: 0.03"," gY: -0.03"," gZ: 0.01",,,
2022-07-24 19:44:06.744,Mode 3 access,125.00," gX: 0.03"," gY: -0.03"," gZ: 0.01",,,
2022-07-24 19:44:06.760,Mode 3 access,125.00," gX: 0.00"," gY: -0.02"," gZ: 0.01",,,
2022-07-24 19:44:06.777,Mode 3 access,125.00," gX: 0.01"," gY: 0.01"," gZ: 0.00",," Gain*gyroY: 1",
2022-07-24 19:44:06.794,Mode 3 access,125.00," gX: 0.02"," gY: 0.01"," gZ: 0.01",," Gain*gyroY: 1",
2022-07-24 19:44:06.810,Mode 3 access,125.00," gX: 0.04"," gY: -0.00"," gZ: 0.02",,,
2022-07-24 19:44:06.821,Mode 3 access,125.00," gX: 0.04"," gY: -0.00"," gZ: 0.02",,,
2022-07-24 19:44:06.838,Mode 3 access,125.00," gX: 0.04"," gY: -0.01"," gZ: 0.03",,,
2022-07-24 19:44:06.850,Mode 3 access,125.00," gX: 0.04"," gY: 0.00"," gZ: 0.03",," Gain*gyroY: 0",
2022-07-24 19:44:06.866,Mode 3 access,125.00," gX: 0.05"," gY: 0.01"," gZ: 0.03",," Gain*gyroY: 0",
2022-07-24 19:44:06.883,Mode 3 access,125.00," gX: 0.05"," gY: 0.01"," gZ: 0.03",," Gain*gyroY: 0",
2022-07-24 19:44:06.899,Mode 3 access,125.00," gX: 0.04"," gY: 0.02"," gZ: 0.02",," Gain*gyroY: 2",
2022-07-24 19:44:06.916,Mode 3 access,125.00," gX: 0.04"," gY: 0.12"," gZ: 0.02",," Gain*gyroY: 15",
2022-07-24 19:44:06.932,Mode 3 access,125.00," gX: 0.04"," gY: 0.14"," gZ: 0.03",," Gain*gyroY: 17",
2022-07-24 19:44:06.948,Mode 3 access,125.00," gX: 0.05"," gY: 0.05"," gZ: 0.03",," Gain*gyroY: 6",
2022-07-24 19:44:06.965,Mode 3 access,125.00," gX: 0.05"," gY: 0.05"," gZ: 0.03",," Gain*gyroY: 6",
2022-07-24 19:44:06.982,Mode 3 access,125.00," gX: 0.05"," gY: 0.02"," gZ: 0.02",," Gain*gyroY: 2",
2022-07-24 19:44:06.998,Mode 3 access,125.00," gX: 0.04"," gY: -0.01"," gZ: 0.02",,,
