2022-07-24 20:07:08.676,Mode 3 access,125.00," gX: -0.08"," gY: 1.26"," gZ: 0.27",," Gain*gyroY: 157",
2022-07-24 20:07:08.692,Mode 3 access,125.00," gX: -0.06"," gY: 1.18"," gZ: 0.26",," Gain*gyroY: 147",
2022-07-24 20:07:08.709,Mode 3 access,125.00," gX: 0.01"," gY: 0.97"," gZ: 0.26",," Gain*gyroY: 121",
2022-07-24 20:07:08.725,Mode 3 access,125.00," gX: 0.03"," gY: 0.78"," gZ: 0.26",," Gain*gyroY: 97",
2022-07-24 20:07:08.741,Mode 3 access,125.00," gX: 0.03"," gY: 0.78"," gZ: 0.26",," Gain*gyroY: 97",
2022-07-24 20:07:08.758,Mode 3 access,125.00," gX: -0.01"," gY: 0.79"," gZ: 0.25",," Gain*gyroY: 99",
2022-07-24 20:07:08.774,Mode 3 access,125.00," gX: -0.04"," gY: 0.86"," gZ: 0.23",," Gain*gyroY: 107",
2022-07-24 20:07:08.791,Mode 3 access,125.00," gX: -0.11"," gY: 1.09"," gZ: 0.23",," Gain*gyroY: 136",
2022-07-24 20:07:08.807,Mode 3 access,125.00," gX: -0.18"," gY: 1.38"," gZ: 0.25",," Gain*gyroY: 172",
2022-07-24 20:07:08.818,Mode 3 access,125.00," gX: -0.18"," gY: 1.38"," gZ: 0.25",," Gain*gyroY: 172",
2022-07-24 20:07:08.835,Mode 3 access,125.00," gX: -0.19"," gY: 1.32"," gZ: 0.26",," Gain*gyroY: 164",
2022-07-24 20:07:08.852,Mode 3 access,125.00," gX: -0.20"," gY: 1.33"," gZ: 0.26",," Gain*gyroY: 165",
2022-07-24 20:07:08.868,Mode 3 access,125.00," gX: -0.12"," gY: 0.96"," gZ: 0.21",," Gain*gyroY: 119",
2022-07-24 20:07:08.885,Mode 3 access,125.00," gX: -0.04"," gY: 0.65"," gZ: 0.18",," Gain*gyroY: 80",
2022-07-24 20:07:08.901,Mode 3 access,125.00," gX: -0.04"," gY: 0.65"," gZ: 0.18",," Gain*gyroY: 80",
2022-07-24 20:07:08.917,Mode 3 access,125.00," gX: 0.00"," gY: 0.51"," gZ: 0.15",," Gain*gyroY: 64",
2022-07-24 20:07:08.934,Mode 3 access,125.00," gX: -0.01"," gY: 0.62"," gZ: 0.17",," Gain*gyroY: 77",
2022-07-24 20:07:08.950,Mode 3 access,125.00," gX: 0.02"," gY: 0.64"," gZ: 0.18",," Gain*gyroY: 80",
2022-07-24 20:07:08.967,Mode 3 access,125.00," gX: 0.04"," gY: 0.52"," gZ: 0.19",," Gain*gyroY: 64",
2022-07-24 20:07:08.983,Mode 3 access,125.00," gX: 0.04"," gY: 0.52"," gZ: 0.19",," Gain*gyroY: 64",
2022-07-24 20:07:08.995,Mode 3 access,125.00," gX: 0.07"," gY: 0.36"," gZ: 0.18",," Gain*gyroY: 45",
2022-07-24 20:07:09.012,Mode 3 access,125.00," gX: 0.05"," gY: 0.39"," gZ: 0.18",," Gain*gyroY: 48",
2022-07-24 20:07:09.028,Mode 3 access,125.00," gX: -0.01"," gY: 0.56"," gZ: 0.19",," Gain*gyroY: 69",
2022-07-24 20:07:09.045,Mode 3 access,125.00," gX: 0.02"," gY: 0.36"," gZ: 0.14",," Gain*gyroY: 45",
2022-07-24 20:07:09.061,Mode 3 access,125.00," gX: 0.02"," gY: 0.36"," gZ: 0.14",," Gain*gyroY: 45",
2022-07-24 20:07:09.077,Mode 3 access,125.00," gX: 0.05"," gY: 0.30"," gZ: 0.11",," Gain*gyroY: 36",
2022-07-24 20:07:09.094,Mode 3 access,125.00," gX: 0.05"," gY: 0.22"," gZ: 0.09",," Gain*gyroY: 27",
2022-07-24 20:07:09.110,Mode 3 access,125.00," gX: 0.03"," gY: 0.18"," gZ: 0.08",," Gain*gyroY: 22",
2022-07-24 20:07:09.127,Mode 3 access,125.00," gX: 0.05"," gY: 0.15"," gZ: 0.07",," Gain*gyroY: 19",
2022-07-24 20:07:09.143,Mode 3 access,125.00," gX: 0.05"," gY: 0.15"," gZ: 0.07",," Gain*gyroY: 19",
2022-07-24 20:07:09.154,Mode 3 access,125.00," gX: 0.07"," gY: 0.13"," gZ: 0.06",," Gain*gyroY: 15",
2022-07-24 20:07:09.171,Mode 3 access,125.00," gX: 0.06"," gY: 0.05"," gZ: 0.03",," Gain*gyroY: 5",
2022-07-24 20:07:09.187,Mode 3 access,125.00," gX: 0.04"," gY: 0.03"," gZ: 0.02",," Gain*gyroY: 4",
2022-07-24 20:07:09.204,Mode 3 access,125.00," gX: 0.02"," gY: 0.02"," gZ: 0.02",," Gain*gyroY: 2",
2022-07-24 20:07:09.220,Mode 3 access,125.00," gX: 0.02"," gY: 0.02"," gZ: 0.02",," Gain*gyroY: 2",
2022-07-24 20:07:09.237,Mode 3 access,125.00," gX: 0.01"," gY: 0.03"," gZ: 0.02",," Gain*gyroY: 3",
2022-07-24 20:07:09.253,Mode 3 access,125.00," gX: 0.01"," gY: 0.03"," gZ: 0.01",," Gain*gyroY: 3",
2022-07-24 20:07:09.269,Mode 3 access,125.00," gX: 0.03"," gY: 0.00"," gZ: -0.01",," Gain*gyroY: 0",
2022-07-24 20:07:09.285,Mode 3 access,125.00," gX: 0.01"," gY: -0.10"," gZ: -0.02",,,
2022-07-24 20:07:09.298,Mode 3 access,125.00," gX: 0.01"," gY: -0.10"," gZ: -0.02",,,
2022-07-24 20:07:09.315,Mode 3 access,125.00," gX: -0.00"," gY: -0.17"," gZ: -0.02",,,
2022-07-24 20:07:09.331,Mode 3 access,125.00," gX: -0.00"," gY: -0.20"," gZ: -0.03",,,
2022-07-24 20:07:09.343,Mode 3 access,125.00," gX: 0.04"," gY: -0.23"," gZ: -0.06",,,
2022-07-24 20:07:09.360,Mode 3 access,125.00," gX: 0.04"," gY: -0.23"," gZ: -0.06",,,
2022-07-24 20:07:09.376,Mode 3 access,125.00," gX: 0.07"," gY: -0.29"," gZ: -0.08",,,
2022-07-24 20:07:09.388,Mode 3 access,125.00," gX: 0.06"," gY: -0.38"," gZ: -0.08",,,
